,Park,HOUSE_NUMBER,STREET_ADDRESS,Suburb_x,POST_CODE,LONG,LAT,SHAPE_Length,SHAPE_Area,Affenpinscher,Afghan Hound,Airedale Terrier,Akita,Akita (Japanese),Alaskan Malamute,American Hairless Terrier,American Staffordshire Terrier,Anatolian Shepherd Dog,Australian Cattle Dog,Australian Kelpie,Australian Koolie,Australian Shepherd,Australian Silky Terrier,Australian Staghound,Australian Stumpy Tail Cattle Dog,Australian Terrier,Basenji,Basset Fauve de Bretagne,Basset Hound,Beagle,Bearded Collie,Bedlington Terrier,Belgian Shepherd,Belgian Shepherd Dog,Bernese Mountain Dog,Bichon Frise,Black Russian Terrier,Bloodhound,Bluetick Coonhound,Border Collie,Border Terrier,Borzoi,Boston Terrier,Bouvier des Flandres,Boxer,Bracco Italiano,Briard,British Bulldog,Brittany,Bull Arab,Bull Terrier,Bull Terrier (Miniature),Bulldog,Bullmastiff,Cairn Terrier,Canaan Dog,Canadian Eskimo Dog,Cane Corso,Cavalier King Charles Spaniel,Central Asian Shepherd Dog,Chesapeake Bay Retriever,Chihuahua,Chihuahua (Long Coat),Chihuahua (Smooth Coat),Chinese Crested Dog,Chow Chow,Clumber Spaniel,Cocker Spaniel,Cocker Spaniel (American),Collie (Rough),Collie (Smooth),Coton De Tulear,Curly Coated Retriever,Dachshund,Dalmatian,Dandie Dinmont Terrier,Deerhound,Dobermann,Dogue de Bordeaux,Dutch Shepherd Dog,English Setter,English Springer Spaniel,English Toy Terrier,Eurasier,Field Spaniel,Finnish Lapphund,Finnish Spitz,Flat Coated Retriever,Fox Terrier,Fox Terrier (Smooth),Fox Terrier (Wire),Foxhound,French Bulldog,German Hunting Terrier,German Pinscher,German Shepherd Dog,German Shepherd Dog (Long Stock Coat),German Shorthaired Pointer,German Spitz,German Wirehaired Pointer,Glen of Imaal Terrier,Golden Retriever,Gordon Setter,Grand Basset Griffon Vendeen,Great Dane,Greyhound,Griffon Bruxellois,Hamiltonstovare,Harrier,Havanese,Hungarian Vizsla,Ibizan Hound,Irish Red and White Setter,Irish Setter,Irish Terrier,Irish Wolfhound,Italian Corso Dog,Italian Greyhound,Italian Spinone,Jack Russell Terrier,Japanese Chin,Japanese Spitz,Kangal Dog,Keeshond,Kerry Blue Terrier,King Charles Spaniel,Kuvasz,Labrador Retriever,Lagotto Romagnolo ,Lakeland Terrier,Large Cross Breed,Large Munsterlander,Leonberger,Lhasa Apso,Lowchen,Maltese,Manchester Terrier,Maremma Sheepdog,Mastiff,Medium Cross Breed,Miniature Pinscher,Neapolitan Mastiff,Newfoundland,Norfolk Terrier,Norwegian Elkhound,Norwich Terrier,Nova Scotia Duck Tolling Retriever,Old English Sheepdog,Papillon,Parson Russell Terrier,Pekingese,Petit Basset Griffon Vendeen,Pharaoh Hound,Pointer,Polish Lowland Sheepdog,Pomeranian,Poodle,Poodle (Miniature),Poodle (Standard),Poodle (Toy),Portuguese Podengo,Portuguese Water Dog,Pug,Puli,Pyrenean Mountain Dog,Rhodesian Ridgeback,Rottweiler,Rough Collie,Russian Black Terrier,Russian Toy (Russkiy Toy) (Smooth Haired),Saluki,Samoyed,Schipperke,Schnauzer,Schnauzer (Giant),Schnauzer (Miniature),Scottish Terrier,Sealyham Terrier,Shar Pei,Shetland Sheepdog,Shiba Inu,Shih Tzu,Siberian Husky,Skye Terrier,Small Cross Breed,Smooth Collie,Soft Coated Wheaten Terrier,St Bernard,Staffordshire Bull Terrier,Stag Hound,Sussex Spaniel,Swedish Lapphund,Swedish Vallhund,Tenterfield Terrier,Tibetan Mastiff,Tibetan Spaniel,Tibetan Terrier,Unknown,Weimaraner,Welsh Corgi,Welsh Corgi (Cardigan),Welsh Corgi (Pembroke),Welsh Springer Spaniel,Welsh Terrier,West Highland White Terrier,Whippet,White Swiss Shepherd Dog,Yorkshire Terrier,Suburb_y,Address,dog area
68,RICHLANDS DEPOT PARK,48,GOVERNMENT ROAD,INALA,4077,152.958786338234,-27.600441685869697,749.985853541077,27858.1087130532,0,0,0,0,0,4,0,35,0,36,24,1,0,9,0,0,3,2,0,1,4,0,0,2,0,0,3,0,0,0,49,0,0,0,0,3,0,0,1,0,18,5,0,3,15,1,0,0,0,13,0,0,38,1,3,0,0,1,1,0,1,1,0,0,10,2,0,0,0,1,0,0,0,0,0,0,0,0,0,53,2,0,0,3,0,1,36,1,1,2,0,0,6,0,0,5,10,0,0,0,0,0,0,0,0,0,4,0,1,0,35,0,1,0,0,0,1,0,35,0,0,1,0,0,0,0,58,0,3,10,2,0,3,0,0,0,0,0,0,2,1,1,0,0,0,0,25,13,0,0,1,0,0,4,0,0,17,24,2,0,0,0,2,0,1,0,0,1,0,7,1,0,31,8,0,0,1,0,0,81,0,0,0,0,2,0,1,0,6,0,1,0,0,0,4,3,0,0,1,Inala,"Richlands Depot Park, 24 Government Road, Inala",y
69,KEV HOOPER MEMORIAL PARK,209,LAVENDER STREET,INALA,4077,152.973014323117,-27.5918717963291,2339.55693421356,145951.628385545,0,0,0,0,0,4,0,35,0,36,24,1,0,9,0,0,3,2,0,1,4,0,0,2,0,0,3,0,0,0,49,0,0,0,0,3,0,0,1,0,18,5,0,3,15,1,0,0,0,13,0,0,38,1,3,0,0,1,1,0,1,1,0,0,10,2,0,0,0,1,0,0,0,0,0,0,0,0,0,53,2,0,0,3,0,1,36,1,1,2,0,0,6,0,0,5,10,0,0,0,0,0,0,0,0,0,4,0,1,0,35,0,1,0,0,0,1,0,35,0,0,1,0,0,0,0,58,0,3,10,2,0,3,0,0,0,0,0,0,2,1,1,0,0,0,0,25,13,0,0,1,0,0,4,0,0,17,24,2,0,0,0,2,0,1,0,0,1,0,7,1,0,31,8,0,0,1,0,0,81,0,0,0,0,2,0,1,0,6,0,1,0,0,0,4,3,0,0,1,Inala,"Kev Hooper Memorial Park, 167 Lavender Street, Inala",y
70,SEDGLEY PARK,35,ALDERSON STREET,ALDERLEY,4051,153.006028167119,-27.4291611916602,1512.44976697889,66957.3880281499,0,0,0,0,0,0,0,9,0,22,20,1,3,1,0,1,1,2,0,3,23,0,1,1,0,0,8,0,0,0,44,1,1,4,0,3,0,0,3,1,2,3,0,1,4,0,0,0,0,53,0,0,6,0,0,1,1,0,24,0,0,2,0,0,19,4,0,0,2,3,1,0,1,0,0,0,1,0,0,7,1,0,0,8,0,0,6,1,7,2,0,0,30,1,0,4,4,1,0,0,1,4,0,0,0,1,2,0,2,0,20,0,0,0,0,0,6,0,61,0,1,0,0,0,6,1,40,0,2,0,1,0,2,1,0,0,0,0,1,2,0,1,0,0,2,0,6,51,6,3,5,0,0,5,0,0,8,6,0,0,0,1,1,1,11,0,2,2,0,1,3,0,13,2,0,2,0,1,1,33,0,0,0,0,2,0,1,0,2,0,1,0,0,0,1,6,3,0,0,Alderley,"Sedgley Park, 401 Enoggera Road, Alderley",y
71,WOLSTON CREEK BUSHLAND RESERVE,43,RIVERPOINT BOULEVARD,RIVERHILLS,4074,152.910879255601,-27.5650318605595,6559.174059189761,486901.067002471,0,0,0,0,0,0,0,7,0,20,14,1,1,3,0,0,3,0,0,1,8,0,0,5,0,1,2,0,0,0,30,1,0,0,0,8,0,0,1,0,5,0,0,2,4,1,0,0,0,16,0,0,13,0,0,0,0,0,9,0,0,0,0,0,13,4,0,0,2,1,0,0,1,0,0,0,0,0,0,14,0,0,0,3,0,0,23,1,1,1,0,0,13,0,0,8,5,0,0,0,0,2,0,0,0,0,2,0,0,0,10,0,1,0,1,0,3,0,44,0,0,0,0,0,0,0,31,0,0,2,0,0,1,1,1,0,0,0,0,2,0,0,0,0,1,0,2,16,2,0,3,0,0,5,0,0,5,3,0,0,0,2,0,2,4,0,1,0,0,0,0,1,17,7,0,0,0,0,0,33,0,0,0,0,1,0,0,0,5,0,4,0,0,0,0,2,5,1,1,Riverhills,"Wolston Creek Bushland Reserve, 69 Tomkins Road, Riverhills",y
72,TIGRIS STREET PARK,22,TIGRIS STREET,RIVERHILLS,4074,152.909115069629,-27.5581361383359,1179.98519382296,33533.6959159852,0,0,0,0,0,0,0,7,0,20,14,1,1,3,0,0,3,0,0,1,8,0,0,5,0,1,2,0,0,0,30,1,0,0,0,8,0,0,1,0,5,0,0,2,4,1,0,0,0,16,0,0,13,0,0,0,0,0,9,0,0,0,0,0,13,4,0,0,2,1,0,0,1,0,0,0,0,0,0,14,0,0,0,3,0,0,23,1,1,1,0,0,13,0,0,8,5,0,0,0,0,2,0,0,0,0,2,0,0,0,10,0,1,0,1,0,3,0,44,0,0,0,0,0,0,0,31,0,0,2,0,0,1,1,1,0,0,0,0,2,0,0,0,0,1,0,2,16,2,0,3,0,0,5,0,0,5,3,0,0,0,2,0,2,4,0,1,0,0,0,0,1,17,7,0,0,0,0,0,33,0,0,0,0,1,0,0,0,5,0,4,0,0,0,0,2,5,1,1,Riverhills,"Tigris Street Park, 22 Tigris Street, Riverhills",y
73,GREEN HILL RESERVOIR PARK,176,RUSSELL TERRACE,CHAPEL HILL,4069,152.95753912950002,-27.4955713651441,1438.81805020254,105277.25350621699,0,0,1,0,0,2,0,12,0,19,28,0,2,6,0,1,6,2,0,2,22,1,0,5,0,0,15,0,0,0,79,3,0,3,0,9,0,1,7,1,9,1,1,1,1,0,0,0,0,67,0,0,15,0,1,0,0,0,40,0,1,0,0,0,25,2,0,0,0,0,0,5,6,0,0,1,0,0,0,15,2,2,0,5,0,0,15,0,2,0,0,0,43,0,0,3,13,0,0,0,0,8,0,0,0,0,6,0,2,0,34,0,1,0,0,0,7,0,100,0,1,0,1,0,10,0,69,1,0,4,6,2,1,0,0,0,0,1,2,5,2,0,0,1,3,0,13,98,4,4,7,0,0,11,0,0,8,9,2,0,0,0,2,1,19,0,6,2,0,1,1,3,28,8,0,3,0,0,0,36,0,0,0,0,2,1,4,0,7,1,3,0,0,0,0,18,8,0,0,Chapel Hill,"Green Hill Reservoir Park, 206C Russell Terrace, Chapel Hill",y
74,CUBBERLA CREEK RESERVE,129,FIG TREE POCKET ROAD,CHAPEL HILL,4069,152.95242807256702,-27.5147826641754,1908.6020360252103,114753.57490447699,0,0,1,0,0,2,0,12,0,19,28,0,2,6,0,1,6,2,0,2,22,1,0,5,0,0,15,0,0,0,79,3,0,3,0,9,0,1,7,1,9,1,1,1,1,0,0,0,0,67,0,0,15,0,1,0,0,0,40,0,1,0,0,0,25,2,0,0,0,0,0,5,6,0,0,1,0,0,0,15,2,2,0,5,0,0,15,0,2,0,0,0,43,0,0,3,13,0,0,0,0,8,0,0,0,0,6,0,2,0,34,0,1,0,0,0,7,0,100,0,1,0,1,0,10,0,69,1,0,4,6,2,1,0,0,0,0,1,2,5,2,0,0,1,3,0,13,98,4,4,7,0,0,11,0,0,8,9,2,0,0,0,2,1,19,0,6,2,0,1,1,3,28,8,0,3,0,0,0,36,0,0,0,0,2,1,4,0,7,1,3,0,0,0,0,18,8,0,0,Chapel Hill,"Cubberla Creek Reserve, 129 Fig Tree Pocket Road, Chapel Hill",y
75,MERRI MERRI PARK,100,GREENFORD STREET,CHAPEL HILL,4069,152.939795921586,-27.4840685778087,1280.14514109908,34931.6670851982,0,0,1,0,0,2,0,12,0,19,28,0,2,6,0,1,6,2,0,2,22,1,0,5,0,0,15,0,0,0,79,3,0,3,0,9,0,1,7,1,9,1,1,1,1,0,0,0,0,67,0,0,15,0,1,0,0,0,40,0,1,0,0,0,25,2,0,0,0,0,0,5,6,0,0,1,0,0,0,15,2,2,0,5,0,0,15,0,2,0,0,0,43,0,0,3,13,0,0,0,0,8,0,0,0,0,6,0,2,0,34,0,1,0,0,0,7,0,100,0,1,0,1,0,10,0,69,1,0,4,6,2,1,0,0,0,0,1,2,5,2,0,0,1,3,0,13,98,4,4,7,0,0,11,0,0,8,9,2,0,0,0,2,1,19,0,6,2,0,1,1,3,28,8,0,3,0,0,0,36,0,0,0,0,2,1,4,0,7,1,3,0,0,0,0,18,8,0,0,Chapel Hill,"Merri Merri Park, 105 Greenford Street, Chapel Hill",y
76,QUINN'S STREET PARK,216,THYNNE ROAD,BALMORAL,4171,153.071149076731,-27.4584395862213,761.4651001623411,26914.3078503755,0,0,1,0,0,0,0,2,0,7,12,0,1,2,0,0,3,1,0,0,13,0,0,0,0,0,7,0,0,0,22,0,0,3,0,3,0,0,3,2,6,0,0,0,1,0,0,0,0,41,0,0,4,1,0,0,0,0,24,0,0,0,0,0,15,1,0,0,2,0,0,0,1,0,0,0,1,0,0,11,1,0,0,2,0,0,8,2,5,1,0,0,16,0,0,3,7,2,0,0,0,1,0,0,1,0,1,0,0,0,10,0,1,0,0,0,2,0,52,0,0,0,0,0,2,0,41,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,32,3,1,2,0,0,6,0,0,3,0,0,0,0,0,0,0,2,0,2,2,0,1,1,0,11,1,0,0,0,0,1,14,0,0,0,0,1,0,1,1,1,3,4,0,0,0,0,3,3,0,0,Balmoral,"Quinn's Street Park, 216 Thynne Road, Balmoral",y
77,NATHAN ROAD PARK,106,NATHAN ROAD,RUNCORN,4113,153.069834419149,-27.587630392231198,1376.6881984577099,49007.3433408084,0,0,0,0,0,5,0,12,0,30,25,3,0,8,0,0,1,0,0,0,17,0,1,0,0,0,6,0,0,0,49,1,0,1,0,7,0,0,2,1,7,6,1,0,7,1,0,0,0,26,0,0,12,1,1,0,1,0,7,0,0,0,0,0,18,1,0,0,5,3,0,0,2,0,0,0,1,0,0,21,1,0,0,4,0,0,28,0,3,1,0,0,8,0,0,4,8,0,0,0,1,1,0,0,0,0,0,0,0,0,22,0,4,0,1,0,5,0,62,0,0,1,0,0,4,0,67,0,0,4,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,18,28,1,1,3,0,0,3,0,0,8,4,0,0,0,1,2,0,1,0,0,0,0,3,3,1,21,6,1,2,0,0,0,51,0,0,0,0,2,1,5,1,3,1,0,0,1,0,0,3,3,0,0,Runcorn,"Nathan Road Park, 346 Daw Road, Runcorn",y
78,GLENEFER STREET PARK,35,GLENEFER STREET,RUNCORN,4113,153.069277033,-27.5992876449999,2565.14572446116,98447.5429375458,0,0,0,0,0,5,0,12,0,30,25,3,0,8,0,0,1,0,0,0,17,0,1,0,0,0,6,0,0,0,49,1,0,1,0,7,0,0,2,1,7,6,1,0,7,1,0,0,0,26,0,0,12,1,1,0,1,0,7,0,0,0,0,0,18,1,0,0,5,3,0,0,2,0,0,0,1,0,0,21,1,0,0,4,0,0,28,0,3,1,0,0,8,0,0,4,8,0,0,0,1,1,0,0,0,0,0,0,0,0,22,0,4,0,1,0,5,0,62,0,0,1,0,0,4,0,67,0,0,4,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,18,28,1,1,3,0,0,3,0,0,8,4,0,0,0,1,2,0,1,0,0,0,0,3,3,1,21,6,1,2,0,0,0,51,0,0,0,0,2,1,5,1,3,1,0,0,1,0,0,3,3,0,0,Runcorn,"Glenefer Street Park, 35 Glenefer Street, Runcorn",y
79,SALISBURY RECREATION RESERVE,323,EVANS ROAD,SALISBURY,4107,153.035797172,-27.551207001999998,2647.03974837505,135916.355455366,0,0,0,0,0,3,0,21,1,29,19,0,2,2,0,0,5,1,0,0,7,0,0,1,0,0,8,0,0,0,40,2,0,0,0,12,0,0,2,2,13,5,0,5,6,2,0,0,0,17,0,0,11,3,0,1,0,0,15,1,0,0,0,0,18,2,0,0,5,2,1,0,2,0,0,0,0,0,0,28,1,0,0,5,0,0,23,1,2,2,0,0,23,0,0,5,15,0,0,0,0,1,0,0,1,0,0,0,1,0,15,1,1,0,0,0,2,0,75,0,0,1,0,0,2,0,36,0,1,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,6,26,1,0,2,0,0,6,0,0,2,9,1,0,0,0,1,0,5,0,1,1,0,4,2,1,18,10,0,2,0,0,0,60,0,0,0,0,1,0,1,0,8,1,4,1,0,0,0,4,4,1,0,Salisbury,"Salisbury Recreation Reserve, 323 Evans Road, Salisbury",y
80,EKIBIN PARK EAST,140,RIDGE STREET,GREENSLOPES,4120,153.042039632,-27.508106685999998,1921.3289162531,80393.6943890775,0,0,1,0,0,1,0,7,0,18,19,3,2,1,0,2,4,0,0,0,13,0,0,3,0,0,5,0,0,0,30,0,0,1,0,4,0,0,1,0,5,2,1,0,1,0,0,0,0,32,0,0,10,1,1,0,0,0,19,0,0,0,0,0,7,4,0,0,2,0,0,0,3,1,0,0,0,0,0,14,2,1,0,7,0,0,15,0,2,0,0,0,15,0,0,2,6,0,0,0,0,1,0,0,0,0,1,0,5,0,20,0,2,0,0,0,4,0,50,1,1,0,0,1,3,0,44,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,27,3,0,3,0,1,12,0,0,5,6,2,0,0,0,4,0,15,0,4,1,0,4,2,0,16,3,0,3,1,2,0,37,0,0,0,0,4,0,1,0,2,2,3,0,0,2,0,10,4,0,1,Greenslopes,"Ekibin Park East, 133 Juliette Street, Greenslopes",y
81,BERKSHIRE CRESCENT PARK,17,BERKSHIRE CRESCENT,WISHART,4122,153.099399090131,-27.5490135473118,550.511329465877,18002.0088785573,0,0,0,2,0,0,0,14,0,23,23,0,3,9,0,0,3,0,0,0,17,1,0,2,0,0,20,0,1,0,45,2,0,2,0,7,0,0,2,0,5,5,0,1,4,2,0,0,0,43,0,0,21,0,3,0,1,0,17,0,1,0,0,0,19,3,0,0,2,1,0,0,1,0,0,0,0,0,0,33,2,0,0,4,0,0,17,0,1,2,0,0,27,0,0,2,9,1,0,0,1,1,0,0,0,0,1,0,0,0,33,0,3,0,2,0,4,0,66,0,0,0,0,0,8,0,71,0,0,0,1,1,1,0,0,0,0,1,0,3,0,0,0,0,1,0,5,46,1,2,4,0,0,10,0,0,9,7,0,0,0,0,1,1,15,0,4,0,0,5,0,0,32,7,0,2,1,0,0,30,0,0,0,0,1,1,6,0,2,0,1,0,0,1,0,3,6,1,1,Wishart,"Berkshire Crescent Park, 17 Berkshire Crescent, Wishart",y
82,BOORABBIN PICNIC GROUND,713,MT GRAVATT-CAPALABA ROAD,WISHART,4122,153.110832344,-27.552873443000003,3122.1038279887703,145987.796549051,0,0,0,2,0,0,0,14,0,23,23,0,3,9,0,0,3,0,0,0,17,1,0,2,0,0,20,0,1,0,45,2,0,2,0,7,0,0,2,0,5,5,0,1,4,2,0,0,0,43,0,0,21,0,3,0,1,0,17,0,1,0,0,0,19,3,0,0,2,1,0,0,1,0,0,0,0,0,0,33,2,0,0,4,0,0,17,0,1,2,0,0,27,0,0,2,9,1,0,0,1,1,0,0,0,0,1,0,0,0,33,0,3,0,2,0,4,0,66,0,0,0,0,0,8,0,71,0,0,0,1,1,1,0,0,0,0,1,0,3,0,0,0,0,1,0,5,46,1,2,4,0,0,10,0,0,9,7,0,0,0,0,1,1,15,0,4,0,0,5,0,0,32,7,0,2,1,0,0,30,0,0,0,0,1,1,6,0,2,0,1,0,0,1,0,3,6,1,1,Wishart,"Boorabbin Picnic Ground, 677A Mt Gravatt-Capalaba Road, Wishart",y
83,NUDGEE WATERHOLE RESERVE,1186,NUDGEE ROAD,NUDGEE,4014,153.093633226548,-27.374125350195197,1792.91718046871,184976.172049757,0,0,0,0,0,0,0,11,0,23,14,2,3,2,0,1,2,0,0,1,5,0,0,0,0,1,2,0,0,0,32,0,1,1,0,3,0,0,6,0,10,4,0,1,3,1,0,0,0,26,0,0,13,0,1,1,0,0,14,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,1,0,6,0,0,15,0,1,1,0,0,15,0,0,5,5,0,0,0,0,3,0,0,1,0,2,0,0,0,18,0,4,0,2,0,4,0,56,0,0,1,0,0,0,0,16,0,3,2,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,3,24,2,1,2,0,1,16,0,0,4,9,1,0,0,0,2,1,4,0,1,1,0,2,0,0,16,3,0,0,1,0,0,41,0,0,0,0,3,0,2,0,0,0,3,0,1,0,1,2,3,0,0,Nudgee,"Nudgee Waterhole Reserve, 1186 Nudgee Road, Nudgee",y
84,TERALBA PARK,120,PULLEN ROAD,EVERTON PARK,4053,152.9815858213,-27.4053475400467,3107.4453244082697,263542.414779435,0,0,0,0,0,3,0,24,0,38,37,1,8,2,0,0,7,0,0,4,18,0,0,2,0,2,10,0,0,0,53,1,0,3,0,11,0,1,1,1,13,5,1,1,3,0,0,0,0,52,0,0,18,1,1,0,1,0,26,0,0,1,0,0,33,1,0,0,4,1,0,0,2,1,0,0,0,0,0,32,0,1,0,8,0,0,24,2,2,0,0,0,37,0,0,9,15,0,0,0,5,1,1,0,0,0,4,1,6,0,31,0,1,0,1,0,4,0,82,1,0,1,0,0,7,0,65,0,3,6,3,1,1,0,0,0,0,0,0,2,0,1,0,0,1,0,6,40,3,2,9,0,0,16,0,0,7,14,3,0,0,0,5,0,16,0,5,0,0,4,2,0,27,10,0,2,0,1,0,76,0,0,0,0,3,0,1,0,1,1,2,0,0,0,1,9,7,3,1,Everton Park,"Teralba Park, 120 Pullen Road, Everton Park",y
85,RON WOOLLEY PLACE,81,TONES ROAD,MANSFIELD,4122,153.11084916444798,-27.5298741091609,2701.36018289212,241236.20392984102,0,0,0,0,1,1,0,23,0,23,26,1,1,6,0,0,6,3,0,0,11,0,0,1,0,0,9,0,0,0,38,0,0,4,0,3,0,0,5,0,6,3,0,2,5,2,0,0,0,40,0,0,21,0,0,1,0,0,8,0,0,0,0,0,16,4,0,0,4,1,0,0,2,0,0,0,0,0,0,26,0,0,0,0,0,2,17,1,1,0,0,0,18,0,0,4,10,1,0,1,0,1,0,0,0,0,2,0,1,0,27,0,6,0,2,0,4,0,74,0,0,0,0,0,13,2,76,1,2,0,3,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,7,57,2,2,5,0,0,4,1,0,10,8,0,0,0,0,0,0,11,0,3,1,0,2,3,1,30,4,0,2,0,0,0,71,1,0,0,0,3,0,4,0,4,1,1,0,0,0,0,6,2,1,2,Mansfield,"Ron Woolley Place, 121 Tones Road, Mansfield",y
86,PRESTON ROAD PARK,25,PRESTON ROAD,CARINA,4152,153.117292864495,-27.490118356834103,4404.42114968327,382184.673043465,0,0,1,0,0,1,0,16,1,28,34,0,6,11,0,1,6,0,0,0,14,0,0,0,0,4,23,0,0,0,71,4,0,3,0,14,0,0,8,0,10,3,0,3,3,6,0,0,0,58,0,1,19,0,0,0,0,0,25,0,0,0,0,0,43,6,0,0,1,3,0,0,3,0,0,0,0,0,0,29,1,0,0,16,0,2,26,1,3,0,0,0,35,0,0,8,8,1,0,1,0,2,0,0,1,0,2,0,3,0,39,0,3,0,3,0,0,0,95,0,0,0,0,0,8,1,83,0,1,10,2,0,2,0,0,0,0,0,1,1,0,1,0,0,1,0,7,61,5,1,10,0,1,25,0,1,7,9,1,0,0,0,3,1,12,0,5,1,0,7,0,0,29,4,0,3,0,0,1,66,0,0,0,0,1,0,6,1,5,8,6,1,1,0,0,15,3,1,3,Carina,"Preston Road Park, 276 Meadowlands Road, Carina",y
87,BILL BROWN SPORTS RESERVE,523,TELEGRAPH ROAD,FITZGIBBON,4018,153.036130329473,-27.3349227510354,5088.57165203374,801017.207558137,0,0,0,0,0,2,0,16,0,15,14,0,1,6,0,1,1,0,0,0,12,0,0,0,0,0,3,0,0,0,16,2,0,3,0,3,0,0,6,0,5,3,0,0,6,1,0,0,0,24,0,0,6,0,2,0,0,0,11,0,0,0,0,0,11,0,0,0,1,0,0,0,0,1,0,0,0,0,0,16,0,0,0,5,0,0,11,0,0,0,0,0,11,0,0,6,7,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,2,0,2,0,3,0,30,0,0,1,0,0,6,0,41,0,0,1,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,9,21,2,0,3,0,0,6,0,0,5,5,0,0,0,0,0,0,6,0,0,0,0,3,3,0,18,2,0,1,0,0,0,31,0,0,0,0,3,0,2,0,1,0,3,0,1,0,0,4,1,0,0,Fitzgibbon,"Bill Brown Sports Reserve, 411 Roghan Road, Fitzgibbon",y
88,NORTHUMBRIA ROAD PARK,389,ABERDEEN PARADE,BOONDALL,4034,153.074441318912,-27.357477668249,1077.0217477588699,61979.904885692005,0,1,1,0,0,0,0,32,0,40,48,2,2,9,0,0,8,1,0,1,16,0,0,1,0,0,8,0,0,0,63,2,0,3,0,13,0,0,3,0,15,2,0,0,5,0,0,0,0,41,0,0,19,1,2,0,2,0,10,0,1,0,0,0,28,2,0,0,3,2,0,0,1,1,0,0,0,0,0,37,1,0,0,4,0,0,23,0,2,0,1,0,19,0,0,7,13,0,0,0,1,1,0,0,0,0,8,0,0,0,31,0,3,0,1,1,1,0,66,1,0,1,0,0,6,1,68,1,2,10,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,7,45,5,1,4,0,0,13,0,0,9,21,0,0,0,0,1,0,11,0,1,0,0,6,0,1,27,12,0,0,0,0,1,89,1,0,0,0,1,0,2,1,5,0,1,0,1,0,0,6,4,0,0,Boondall,"Northumbria Road Park, 79 College Way, Boondall",y
89,BOONDALL PARK,2332,SANDGATE ROAD,BOONDALL,4034,153.057056347,-27.338933345999997,1582.28055448625,62110.0699407157,0,1,1,0,0,0,0,32,0,40,48,2,2,9,0,0,8,1,0,1,16,0,0,1,0,0,8,0,0,0,63,2,0,3,0,13,0,0,3,0,15,2,0,0,5,0,0,0,0,41,0,0,19,1,2,0,2,0,10,0,1,0,0,0,28,2,0,0,3,2,0,0,1,1,0,0,0,0,0,37,1,0,0,4,0,0,23,0,2,0,1,0,19,0,0,7,13,0,0,0,1,1,0,0,0,0,8,0,0,0,31,0,3,0,1,1,1,0,66,1,0,1,0,0,6,1,68,1,2,10,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,7,45,5,1,4,0,0,13,0,0,9,21,0,0,0,0,1,0,11,0,1,0,0,6,0,1,27,12,0,0,0,0,1,89,1,0,0,0,1,0,2,1,5,0,1,0,1,0,0,6,4,0,0,Boondall,"Boondall Park, 2332 Sandgate Road, Boondall",y
90,MULBEAM PARK,131,MULLER ROAD,BOONDALL,4034,153.05410329990102,-27.351677669865698,794.141604161228,28563.180426039704,0,1,1,0,0,0,0,32,0,40,48,2,2,9,0,0,8,1,0,1,16,0,0,1,0,0,8,0,0,0,63,2,0,3,0,13,0,0,3,0,15,2,0,0,5,0,0,0,0,41,0,0,19,1,2,0,2,0,10,0,1,0,0,0,28,2,0,0,3,2,0,0,1,1,0,0,0,0,0,37,1,0,0,4,0,0,23,0,2,0,1,0,19,0,0,7,13,0,0,0,1,1,0,0,0,0,8,0,0,0,31,0,3,0,1,1,1,0,66,1,0,1,0,0,6,1,68,1,2,10,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,7,45,5,1,4,0,0,13,0,0,9,21,0,0,0,0,1,0,11,0,1,0,0,6,0,1,27,12,0,0,0,0,1,89,1,0,0,0,1,0,2,1,5,0,1,0,1,0,0,6,4,0,0,Boondall,"Mulbeam Park, 131 Beams Road, Boondall",y
91,YIMBUN PARK,459,MCCULLOUGH STREET,SUNNYBANK,4109,153.074117792873,-27.574157171335802,1166.8472260334802,50819.3237838141,0,0,0,1,0,2,0,18,0,14,15,0,0,0,0,0,4,0,0,1,8,1,0,0,2,0,3,0,0,0,21,0,1,0,0,3,0,0,2,0,5,1,0,0,2,0,0,0,0,10,1,0,6,0,2,0,0,0,2,0,0,0,1,0,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,15,0,0,0,0,0,13,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,0,0,4,1,25,0,0,0,0,0,1,0,38,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,11,17,4,1,2,0,0,4,0,0,8,7,0,0,0,0,0,2,3,0,2,1,0,1,0,0,7,8,0,0,1,2,0,22,0,0,0,0,2,1,2,0,2,0,4,0,0,0,0,2,3,0,0,Sunnybank,"Yimbun Park, 459 McCullough Street, Sunnybank",y
92,ORLEIGH PARK,68,HILL END TERRACE,WEST END,4101,152.998013847,-27.489371472999895,2352.86510809607,53658.936115475,0,0,0,0,0,1,0,5,1,19,18,3,1,6,0,0,5,0,0,0,8,2,0,0,0,1,14,0,0,0,28,2,0,6,0,6,0,0,3,0,1,3,0,0,0,1,0,0,0,58,0,0,16,2,3,0,0,0,15,1,1,0,0,0,40,1,0,0,2,0,0,0,1,0,0,2,0,0,0,16,3,1,0,18,0,0,7,0,1,2,1,0,4,0,0,1,10,0,0,0,2,1,0,0,0,1,0,0,4,0,16,0,4,0,1,0,11,0,51,0,0,0,0,0,4,0,58,0,2,2,4,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,7,57,4,1,13,0,0,13,0,0,4,3,0,0,0,0,1,0,19,0,10,0,0,1,1,0,21,1,2,2,0,1,0,17,0,0,0,0,4,0,2,0,5,1,2,0,0,1,1,8,4,0,1,West End,"Orleigh Park, 68 Hill End Terrace, West End",y
