,Park,HOUSE_NUMBER,STREET_ADDRESS,Suburb_x,POST_CODE,LONG,LAT,SHAPE_Length,SHAPE_Area,Affenpinscher,Afghan Hound,Airedale Terrier,Akita,Akita (Japanese),Alaskan Malamute,American Hairless Terrier,American Staffordshire Terrier,Anatolian Shepherd Dog,Australian Cattle Dog,Australian Kelpie,Australian Koolie,Australian Shepherd,Australian Silky Terrier,Australian Staghound,Australian Stumpy Tail Cattle Dog,Australian Terrier,Basenji,Basset Fauve de Bretagne,Basset Hound,Beagle,Bearded Collie,Bedlington Terrier,Belgian Shepherd,Belgian Shepherd Dog,Bernese Mountain Dog,Bichon Frise,Black Russian Terrier,Bloodhound,Bluetick Coonhound,Border Collie,Border Terrier,Borzoi,Boston Terrier,Bouvier des Flandres,Boxer,Bracco Italiano,Briard,British Bulldog,Brittany,Bull Arab,Bull Terrier,Bull Terrier (Miniature),Bulldog,Bullmastiff,Cairn Terrier,Canaan Dog,Canadian Eskimo Dog,Cane Corso,Cavalier King Charles Spaniel,Central Asian Shepherd Dog,Chesapeake Bay Retriever,Chihuahua,Chihuahua (Long Coat),Chihuahua (Smooth Coat),Chinese Crested Dog,Chow Chow,Clumber Spaniel,Cocker Spaniel,Cocker Spaniel (American),Collie (Rough),Collie (Smooth),Coton De Tulear,Curly Coated Retriever,Dachshund,Dalmatian,Dandie Dinmont Terrier,Deerhound,Dobermann,Dogue de Bordeaux,Dutch Shepherd Dog,English Setter,English Springer Spaniel,English Toy Terrier,Eurasier,Field Spaniel,Finnish Lapphund,Finnish Spitz,Flat Coated Retriever,Fox Terrier,Fox Terrier (Smooth),Fox Terrier (Wire),Foxhound,French Bulldog,German Hunting Terrier,German Pinscher,German Shepherd Dog,German Shepherd Dog (Long Stock Coat),German Shorthaired Pointer,German Spitz,German Wirehaired Pointer,Glen of Imaal Terrier,Golden Retriever,Gordon Setter,Grand Basset Griffon Vendeen,Great Dane,Greyhound,Griffon Bruxellois,Hamiltonstovare,Harrier,Havanese,Hungarian Vizsla,Ibizan Hound,Irish Red and White Setter,Irish Setter,Irish Terrier,Irish Wolfhound,Italian Corso Dog,Italian Greyhound,Italian Spinone,Jack Russell Terrier,Japanese Chin,Japanese Spitz,Kangal Dog,Keeshond,Kerry Blue Terrier,King Charles Spaniel,Kuvasz,Labrador Retriever,Lagotto Romagnolo ,Lakeland Terrier,Large Cross Breed,Large Munsterlander,Leonberger,Lhasa Apso,Lowchen,Maltese,Manchester Terrier,Maremma Sheepdog,Mastiff,Medium Cross Breed,Miniature Pinscher,Neapolitan Mastiff,Newfoundland,Norfolk Terrier,Norwegian Elkhound,Norwich Terrier,Nova Scotia Duck Tolling Retriever,Old English Sheepdog,Papillon,Parson Russell Terrier,Pekingese,Petit Basset Griffon Vendeen,Pharaoh Hound,Pointer,Polish Lowland Sheepdog,Pomeranian,Poodle,Poodle (Miniature),Poodle (Standard),Poodle (Toy),Portuguese Podengo,Portuguese Water Dog,Pug,Puli,Pyrenean Mountain Dog,Rhodesian Ridgeback,Rottweiler,Rough Collie,Russian Black Terrier,Russian Toy (Russkiy Toy) (Smooth Haired),Saluki,Samoyed,Schipperke,Schnauzer,Schnauzer (Giant),Schnauzer (Miniature),Scottish Terrier,Sealyham Terrier,Shar Pei,Shetland Sheepdog,Shiba Inu,Shih Tzu,Siberian Husky,Skye Terrier,Small Cross Breed,Smooth Collie,Soft Coated Wheaten Terrier,St Bernard,Staffordshire Bull Terrier,Stag Hound,Sussex Spaniel,Swedish Lapphund,Swedish Vallhund,Tenterfield Terrier,Tibetan Mastiff,Tibetan Spaniel,Tibetan Terrier,Unknown,Weimaraner,Welsh Corgi,Welsh Corgi (Cardigan),Welsh Corgi (Pembroke),Welsh Springer Spaniel,Welsh Terrier,West Highland White Terrier,Whippet,White Swiss Shepherd Dog,Yorkshire Terrier,Suburb_y,Address,dog area
93,SOUTH BRISBANE RIVERSIDE LANDS PARK,151A,JANE STREET,WEST END,4101,153.007147441,-27.4748064199999,2635.26212913285,23186.84199252,0,0,0,0,0,1,0,5,1,19,18,3,1,6,0,0,5,0,0,0,8,2,0,0,0,1,14,0,0,0,28,2,0,6,0,6,0,0,3,0,1,3,0,0,0,1,0,0,0,58,0,0,16,2,3,0,0,0,15,1,1,0,0,0,40,1,0,0,2,0,0,0,1,0,0,2,0,0,0,16,3,1,0,18,0,0,7,0,1,2,1,0,4,0,0,1,10,0,0,0,2,1,0,0,0,1,0,0,4,0,16,0,4,0,1,0,11,0,51,0,0,0,0,0,4,0,58,0,2,2,4,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,7,57,4,1,13,0,0,13,0,0,4,3,0,0,0,0,1,0,19,0,10,0,0,1,1,0,21,1,2,2,0,1,0,17,0,0,0,0,4,0,2,0,5,1,2,0,0,1,1,8,4,0,1,South Brisbane,"South Brisbane Riverside Lands Park, 23A Hockings Street, South Brisbane",y
94,DUTTON PARK,359,GLADSTONE ROAD,DUTTON PARK,4102,153.025162437,-27.497477737999898,3397.04777460021,94522.1503094965,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,10,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,2,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,Dutton Park,"Dutton Park, 359 Gladstone Road, Dutton Park",y
95,ENDIANDRA STREET PARK,345,ALGESTER ROAD,ALGESTER,4115,153.031726800667,-27.6184115281895,2259.39237497096,111988.02205367801,0,0,0,0,0,2,0,21,0,12,16,0,1,9,0,0,2,1,0,0,9,0,0,2,0,1,4,0,0,0,31,0,0,0,0,12,0,0,1,0,6,2,2,4,5,0,0,0,1,16,0,0,13,1,0,0,0,0,17,0,0,1,0,0,8,0,0,0,1,0,0,0,3,0,0,0,0,0,0,19,0,0,0,4,0,0,24,1,1,0,0,0,11,0,0,8,4,0,0,0,1,1,0,0,0,0,3,0,2,0,17,0,0,0,0,0,4,0,47,0,0,0,0,0,7,0,55,0,3,3,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,8,28,1,1,4,0,1,9,0,0,13,10,0,0,0,0,3,0,1,0,0,0,0,2,2,0,24,7,0,0,0,0,0,46,0,0,0,0,1,0,1,0,9,0,1,1,0,0,0,2,1,0,5,Algester,"Endiandra Street Park, 26 Ackama Street, Algester",y
96,WATERFRONT PARK,35,WATERLOO STREET,NEWSTEAD,4006,153.046217491716,-27.448935496117898,918.287484113103,27941.123649278798,1,0,1,0,0,0,0,2,0,5,4,1,0,2,0,0,1,0,0,0,10,0,0,1,0,0,9,0,0,0,5,0,0,6,0,0,0,0,3,1,0,1,0,2,0,1,0,0,0,55,0,0,11,2,1,2,0,0,17,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,29,0,0,2,0,0,1,0,0,1,0,0,1,7,2,0,0,1,1,0,0,0,0,0,0,2,0,8,0,4,0,0,0,5,0,5,1,0,0,0,0,3,1,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,12,18,9,1,15,0,1,7,0,0,1,0,0,0,0,0,0,0,6,0,4,0,0,0,0,1,14,1,0,1,0,0,0,12,0,0,0,0,0,0,2,0,0,0,2,0,3,0,0,9,0,1,1,Newstead,"Waterfront Park, 39 Waterloo Street, Newstead",y
97,HYDE ROAD PARK,331,FAIRFIELD ROAD,YERONGA,4104,153.01759340132799,-27.5126135692253,1453.4666776285699,55187.8869113745,1,0,1,0,0,1,0,7,0,22,16,1,1,2,0,0,1,0,0,0,10,1,0,4,0,0,9,0,0,0,47,1,0,2,0,3,0,0,7,0,9,4,0,0,2,1,0,0,0,49,0,0,16,0,1,0,0,0,16,1,0,0,0,3,12,4,0,0,1,0,0,0,3,0,0,0,0,0,1,7,2,0,0,10,0,0,8,1,3,1,0,0,17,0,0,3,11,1,0,0,1,3,0,0,0,1,2,0,0,0,21,0,2,0,0,0,3,0,58,0,0,0,0,0,5,0,31,0,1,4,1,0,0,1,0,0,0,0,0,4,0,1,0,0,1,0,5,39,2,4,0,0,1,7,0,0,7,8,0,0,0,0,2,1,13,0,4,2,0,0,0,0,13,0,0,2,0,0,1,17,1,0,0,0,2,0,1,0,5,0,8,0,1,1,0,11,1,0,0,Yeronga,"Hyde Road Park, 331 Fairfield Road, Yeronga",y
98,YERONGA MEMORIAL PARK,78A,PARK ROAD,YERONGA,4104,153.024174950208,-27.519634459913203,2581.9788482625895,224705.75624344,1,0,1,0,0,1,0,7,0,22,16,1,1,2,0,0,1,0,0,0,10,1,0,4,0,0,9,0,0,0,47,1,0,2,0,3,0,0,7,0,9,4,0,0,2,1,0,0,0,49,0,0,16,0,1,0,0,0,16,1,0,0,0,3,12,4,0,0,1,0,0,0,3,0,0,0,0,0,1,7,2,0,0,10,0,0,8,1,3,1,0,0,17,0,0,3,11,1,0,0,1,3,0,0,0,1,2,0,0,0,21,0,2,0,0,0,3,0,58,0,0,0,0,0,5,0,31,0,1,4,1,0,0,1,0,0,0,0,0,4,0,1,0,0,1,0,5,39,2,4,0,0,1,7,0,0,7,8,0,0,0,0,2,1,13,0,4,2,0,0,0,0,13,0,0,2,0,0,1,17,1,0,0,0,2,0,1,0,5,0,8,0,1,1,0,11,1,0,0,Yeronga,"Yeronga Memorial Park, 78 Park Road, Yeronga",y
99,TURQUOISE PLACE PARK,20,PRIMROSE CLOSE,WAVELL HEIGHTS,4012,153.052402433,-27.3839298509999,1654.1401866285098,23087.530602091803,0,0,1,1,0,2,0,18,2,48,47,3,9,10,0,0,8,0,0,2,21,0,0,3,0,1,5,0,1,0,79,1,0,2,0,19,0,0,8,1,15,4,0,3,10,1,0,0,0,59,0,0,7,0,0,1,1,0,40,0,2,0,0,1,37,7,0,0,3,0,0,0,8,0,0,0,0,0,1,36,1,0,0,13,0,0,32,1,4,3,0,0,50,1,0,6,20,0,0,0,2,3,0,0,1,1,4,0,3,0,26,0,2,0,2,0,6,0,113,2,1,0,0,0,10,0,106,0,3,2,1,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,5,57,8,2,6,0,2,21,0,0,7,15,1,0,0,0,3,0,21,0,5,1,0,8,2,0,34,11,0,1,0,0,0,88,0,0,0,0,4,1,4,1,4,5,2,0,0,0,0,19,6,0,1,Wavell Heights,"Turquoise Place Park, 41 Turquoise Place, Wavell Heights",y
100,RILATT PARK,69,RILATT STREET,WAVELL HEIGHTS,4012,153.047696867584,-27.391528680741402,509.73847267390505,12453.6959121424,0,0,1,1,0,2,0,18,2,48,47,3,9,10,0,0,8,0,0,2,21,0,0,3,0,1,5,0,1,0,79,1,0,2,0,19,0,0,8,1,15,4,0,3,10,1,0,0,0,59,0,0,7,0,0,1,1,0,40,0,2,0,0,1,37,7,0,0,3,0,0,0,8,0,0,0,0,0,1,36,1,0,0,13,0,0,32,1,4,3,0,0,50,1,0,6,20,0,0,0,2,3,0,0,1,1,4,0,3,0,26,0,2,0,2,0,6,0,113,2,1,0,0,0,10,0,106,0,3,2,1,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,5,57,8,2,6,0,2,21,0,0,7,15,1,0,0,0,3,0,21,0,5,1,0,8,2,0,34,11,0,1,0,0,0,88,0,0,0,0,4,1,4,1,4,5,2,0,0,0,0,19,6,0,1,Wavell Heights,"Rilatt Park, 69 Rilatt Street, Wavell Heights",y
101,SHAW ESTATE PARK,150,SHAW ROAD,WAVELL HEIGHTS,4012,153.043524888728,-27.404344050555302,4099.32335567785,443441.479512286,0,0,1,1,0,2,0,18,2,48,47,3,9,10,0,0,8,0,0,2,21,0,0,3,0,1,5,0,1,0,79,1,0,2,0,19,0,0,8,1,15,4,0,3,10,1,0,0,0,59,0,0,7,0,0,1,1,0,40,0,2,0,0,1,37,7,0,0,3,0,0,0,8,0,0,0,0,0,1,36,1,0,0,13,0,0,32,1,4,3,0,0,50,1,0,6,20,0,0,0,2,3,0,0,1,1,4,0,3,0,26,0,2,0,2,0,6,0,113,2,1,0,0,0,10,0,106,0,3,2,1,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,5,57,8,2,6,0,2,21,0,0,7,15,1,0,0,0,3,0,21,0,5,1,0,8,2,0,34,11,0,1,0,0,0,88,0,0,0,0,4,1,4,1,4,5,2,0,0,0,0,19,6,0,1,Wavell Heights,"Shaw Estate Park, 150 Shaw Road, Wavell Heights",y
102,WOOLLOONGABBA ROTARY PARK,19,CAMBERWELL STREET,EAST BRISBANE,4169,153.042814802177,-27.490316414316602,619.860103301211,16448.505106528897,0,0,2,0,0,0,0,7,0,14,17,1,1,3,0,1,0,0,0,0,8,0,0,0,1,1,2,0,0,0,23,0,0,0,0,9,0,0,1,2,6,5,0,2,0,0,0,0,0,15,0,0,10,1,1,0,0,0,4,1,0,0,0,0,21,3,0,0,0,1,0,0,1,0,0,0,0,0,0,9,0,0,1,8,0,0,12,1,2,0,0,0,10,1,0,2,6,0,0,1,1,2,0,0,0,0,2,0,0,0,16,0,1,0,0,0,1,0,37,2,0,0,0,0,3,0,32,1,1,2,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,22,4,0,4,0,1,5,0,0,6,1,2,0,0,2,1,0,11,0,1,1,0,0,0,0,8,1,0,0,0,0,0,32,0,0,0,0,2,0,2,1,2,2,4,0,0,0,0,10,1,0,2,East Brisbane,"Woolloongabba Rotary Park, 64 Fisher Street, East Brisbane",y
103,REAL PARK,33,HEATH STREET,EAST BRISBANE,4169,153.048828217737,-27.4809658684281,433.42141372374397,7153.119048414191,0,0,2,0,0,0,0,7,0,14,17,1,1,3,0,1,0,0,0,0,8,0,0,0,1,1,2,0,0,0,23,0,0,0,0,9,0,0,1,2,6,5,0,2,0,0,0,0,0,15,0,0,10,1,1,0,0,0,4,1,0,0,0,0,21,3,0,0,0,1,0,0,1,0,0,0,0,0,0,9,0,0,1,8,0,0,12,1,2,0,0,0,10,1,0,2,6,0,0,1,1,2,0,0,0,0,2,0,0,0,16,0,1,0,0,0,1,0,37,2,0,0,0,0,3,0,32,1,1,2,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,22,4,0,4,0,1,5,0,0,6,1,2,0,0,2,1,0,11,0,1,1,0,0,0,0,8,1,0,0,0,0,0,32,0,0,0,0,2,0,2,1,2,2,4,0,0,0,0,10,1,0,2,East Brisbane,"Real Park, 33 Heath Street, East Brisbane",y
104,PHIL DENMAN PARK,61,BEANLAND STREET,JAMBOREE HEIGHTS,4074,152.929993044421,-27.552473842275,1316.27017653608,54512.662542702696,0,0,0,0,0,0,0,7,0,11,14,0,2,2,0,0,0,1,0,0,5,2,2,1,0,0,2,0,0,0,24,0,0,0,0,2,0,0,0,0,5,0,0,0,4,0,0,0,0,6,0,0,10,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,1,0,1,12,0,1,1,1,0,5,0,0,1,2,0,0,0,0,2,0,0,1,0,1,0,1,0,11,0,0,0,0,0,2,0,23,0,0,0,0,0,3,0,36,0,0,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,11,1,0,0,0,0,1,0,0,3,2,1,0,0,1,0,1,2,0,1,0,0,3,0,0,5,4,0,0,0,0,0,19,1,0,0,0,0,0,1,0,2,1,0,0,0,0,1,3,1,0,0,Jamboree Heights,"Phil Denman Park, 56 Loffs Road, Jamboree Heights",y
105,PASK FAMILY PARK,12,ASCENT STREET,ROCHEDALE,4123,153.11611447885,-27.5741455156594,570.517945168085,9767.89100573042,0,0,0,1,0,0,0,11,0,8,8,0,0,2,0,0,0,0,0,1,8,0,0,1,0,0,4,0,0,0,24,0,0,0,0,2,0,0,4,0,4,0,0,0,2,0,0,0,0,22,0,0,5,0,0,0,0,0,10,0,0,0,0,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9,0,0,0,4,0,0,15,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,4,0,0,0,4,0,30,0,0,0,0,0,2,0,36,0,1,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,1,0,11,16,2,3,2,0,0,7,0,0,3,4,0,0,0,0,1,0,5,0,5,0,0,2,0,0,8,10,0,3,0,0,0,20,0,0,0,0,3,0,1,0,0,0,2,0,2,0,0,1,0,0,0,Rochedale,"Pask Family Park, 12 Ascent Street, Rochedale",y
106,POWERHOUSE PARK,130,LAMINGTON STREET,NEW FARM,4005,153.054180556388,-27.4678276756287,756.751609324393,15356.5762145292,0,0,4,0,0,1,0,7,0,15,14,0,1,4,0,0,3,1,0,0,12,0,0,0,0,1,2,1,0,0,31,0,0,3,0,6,0,0,4,1,2,4,1,1,0,3,0,0,0,46,0,0,12,4,0,2,0,0,27,0,0,0,0,1,26,2,0,0,1,1,0,0,1,0,0,0,0,0,1,10,0,0,0,19,0,0,7,0,3,1,0,0,11,0,0,2,11,1,0,0,3,5,0,0,0,1,4,1,2,0,18,0,3,0,0,0,11,0,57,0,1,0,0,0,4,0,46,0,0,1,5,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,57,10,1,7,0,2,10,0,0,0,6,2,0,0,0,2,0,22,0,10,0,0,0,0,0,14,5,0,4,0,2,0,24,0,0,0,0,0,0,2,0,3,1,2,0,0,1,0,13,6,0,1,New Farm,"Powerhouse Park, 137 Sydney Street, New Farm",y
107,ABBEVILLE STREET PARK,41,ABBEVILLE STREET,UPPER MOUNT GRAVATT,4122,153.088992200463,-27.5445136384269,598.9382379399771,19846.2300949715,0,0,0,0,0,1,0,11,0,20,21,0,0,2,0,0,2,0,0,1,9,2,0,0,0,0,13,1,0,0,43,0,0,3,0,6,0,0,4,2,7,2,0,1,4,1,0,0,0,24,0,0,16,0,0,0,0,0,13,0,0,0,1,0,22,8,0,0,1,3,0,0,1,2,0,0,0,0,0,16,1,0,0,4,0,0,21,0,0,0,0,0,14,0,0,2,4,0,0,1,6,3,0,0,0,0,1,0,1,0,19,0,0,0,0,0,3,0,53,1,0,1,0,0,6,0,50,1,1,4,2,1,1,0,0,0,0,0,0,3,0,1,0,0,1,0,10,28,2,1,4,0,0,8,0,0,7,7,1,0,0,0,0,0,5,0,0,0,0,2,0,0,17,6,0,4,0,0,1,38,0,0,0,0,1,0,1,0,3,0,2,0,0,0,0,3,4,0,0,Upper Mount Gravatt,"Abbeville Street Park, 41 Abbeville Street, Upper Mount Gravatt",y
108,EVELYN ROAD PARK,180,KIANAWAH ROAD,WYNNUM WEST,4178,153.144612992601,-27.451712665619898,646.638099573125,14101.0250421575,1,0,0,0,0,4,0,34,0,52,45,1,7,11,0,0,9,0,0,0,20,1,0,2,0,1,10,0,1,1,59,2,0,3,0,15,0,0,9,1,22,7,0,2,12,2,0,0,0,43,0,0,21,0,1,1,1,0,21,0,0,0,0,2,36,4,0,0,3,4,0,0,6,0,0,0,2,0,0,45,0,0,1,17,0,0,37,0,2,0,0,0,26,0,0,10,19,0,0,0,0,6,0,0,0,0,6,0,1,0,57,0,3,0,0,0,11,0,88,1,0,2,0,0,13,2,104,0,2,8,1,0,4,0,0,0,0,0,1,3,0,1,0,0,0,0,7,64,8,4,9,0,0,14,0,0,14,21,0,0,0,0,2,1,12,0,3,2,0,11,4,0,44,17,0,1,0,1,0,122,0,0,0,0,4,0,9,0,8,1,7,0,1,0,0,9,4,0,2,Wynnum West,"Evelyn Road Park, 180 Kianawah Road, Wynnum West",y
109,BARCOORAH STREET PARK,88,BARCOORAH STREET,WESTLAKE,4074,152.906265822236,-27.551868206912605,3000.10287842337,104162.55876433599,0,0,1,0,0,2,0,4,0,15,13,2,4,6,0,0,4,0,0,0,8,0,0,0,0,0,8,0,0,0,38,0,0,0,0,2,0,0,0,1,5,2,0,0,3,0,0,0,0,24,0,0,5,0,0,0,0,0,11,0,0,0,0,0,8,4,0,0,2,1,0,0,2,0,0,0,0,0,2,6,1,0,0,1,0,0,12,0,1,0,0,0,15,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,3,0,1,0,1,0,43,1,0,0,0,0,2,2,42,0,3,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,4,37,0,1,3,0,0,2,0,0,11,3,2,0,0,0,4,0,10,0,1,0,0,1,3,0,24,2,0,0,1,0,0,36,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,3,0,1,Westlake,"Barcoorah Street Park, 88 Barcoorah Street, Westlake",y
110,DOWNFALL CREEK RESERVE,57,JEFFERIS STREET,VIRGINIA,4014,153.057978039,-27.383014198999902,2196.6728415797,96479.3100746542,0,0,0,0,0,0,0,5,0,17,15,0,0,6,0,1,4,0,0,1,8,0,0,1,0,0,1,0,0,0,19,0,0,1,0,3,0,0,1,0,5,1,0,0,2,0,0,0,0,10,0,0,5,0,0,0,0,0,6,1,0,0,0,0,9,3,0,0,2,1,0,0,3,0,0,0,0,0,0,13,0,0,0,2,0,0,8,0,1,0,0,0,5,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,28,1,0,0,0,0,1,0,16,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,1,1,0,0,5,0,0,9,0,0,0,0,0,0,0,2,0,1,0,0,4,3,0,4,5,0,0,0,0,0,20,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,2,0,0,Geebung,"Downfall Creek Reserve, 263 Bilsen Road, Geebung",y
111,BYRNE'S PADDOCK PARK,21,FEDERATION STREET,WINDSOR,4030,153.031750630851,-27.440869065549602,540.675116668963,12914.0911208119,0,0,3,0,0,2,0,10,0,14,12,2,5,1,0,0,3,1,0,0,14,0,0,0,0,0,5,0,0,0,28,4,0,2,0,3,0,0,2,0,8,6,0,0,1,2,0,0,0,31,0,0,8,0,0,0,0,0,20,0,0,0,0,0,22,1,0,0,2,0,0,0,2,0,0,0,0,0,0,4,0,0,0,11,0,0,14,1,4,0,1,0,24,0,0,3,4,2,0,0,0,5,0,0,0,2,0,0,0,0,9,0,1,0,0,0,10,0,67,0,0,0,0,0,1,0,45,0,0,2,2,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,4,39,3,2,4,0,0,8,0,0,10,7,2,0,0,0,1,0,8,0,0,0,0,1,2,1,11,2,0,2,0,0,0,32,0,0,0,0,2,0,7,0,5,0,4,0,0,0,0,8,5,0,0,Windsor,"Byrne's Paddock Park, 21 Federation Street, Windsor",y
112,NORTHEY STREET PARK,24,EDGAR STREET,WINDSOR,4030,153.028072784,-27.442718719000002,1764.46659400849,33041.8298241333,0,0,3,0,0,2,0,10,0,14,12,2,5,1,0,0,3,1,0,0,14,0,0,0,0,0,5,0,0,0,28,4,0,2,0,3,0,0,2,0,8,6,0,0,1,2,0,0,0,31,0,0,8,0,0,0,0,0,20,0,0,0,0,0,22,1,0,0,2,0,0,0,2,0,0,0,0,0,0,4,0,0,0,11,0,0,14,1,4,0,1,0,24,0,0,3,4,2,0,0,0,5,0,0,0,2,0,0,0,0,9,0,1,0,0,0,10,0,67,0,0,0,0,0,1,0,45,0,0,2,2,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,4,39,3,2,4,0,0,8,0,0,10,7,2,0,0,0,1,0,8,0,0,0,0,1,2,1,11,2,0,2,0,0,0,32,0,0,0,0,2,0,7,0,5,0,4,0,0,0,0,8,5,0,0,Windsor,"Northey Street Park, 24 Edgar Street, Windsor",y
113,BOOKER PLACE PARK,89,BIRKIN ROAD,BELLBOWRIE,4070,152.892574984323,-27.563737848747397,2212.45544868746,160549.734219862,0,0,0,0,0,3,0,9,0,31,24,0,3,11,0,0,2,0,0,3,9,0,0,2,0,0,7,0,0,0,76,1,0,1,0,13,0,0,0,1,11,4,0,1,5,2,0,0,0,24,0,0,5,0,1,1,0,0,15,0,0,0,0,0,34,2,0,0,1,0,0,0,5,0,0,0,0,0,0,24,1,0,0,1,0,0,31,2,2,1,0,0,29,0,0,5,10,0,0,0,2,5,0,0,1,0,8,0,0,0,24,0,3,0,0,1,4,0,81,1,0,1,0,0,3,0,51,0,0,7,4,0,3,0,0,0,0,0,3,1,0,0,0,0,3,0,6,34,6,1,1,0,0,1,0,0,10,4,0,0,0,0,1,0,5,0,3,0,0,4,0,2,25,12,0,3,0,1,0,48,0,0,0,1,2,0,5,0,3,2,4,0,0,0,0,8,1,0,1,Bellbowrie,"Booker Place Park, 89 Birkin Road, Bellbowrie",y
114,PIONEER CRESCENT PARK,33,PIONEER CRESCENT,BELLBOWRIE,4070,152.872158285939,-27.561447114946603,967.1227410965331,45379.692960374006,0,0,0,0,0,3,0,9,0,31,24,0,3,11,0,0,2,0,0,3,9,0,0,2,0,0,7,0,0,0,76,1,0,1,0,13,0,0,0,1,11,4,0,1,5,2,0,0,0,24,0,0,5,0,1,1,0,0,15,0,0,0,0,0,34,2,0,0,1,0,0,0,5,0,0,0,0,0,0,24,1,0,0,1,0,0,31,2,2,1,0,0,29,0,0,5,10,0,0,0,2,5,0,0,1,0,8,0,0,0,24,0,3,0,0,1,4,0,81,1,0,1,0,0,3,0,51,0,0,7,4,0,3,0,0,0,0,0,3,1,0,0,0,0,3,0,6,34,6,1,1,0,0,1,0,0,10,4,0,0,0,0,1,0,5,0,3,0,0,4,0,2,25,12,0,3,0,1,0,48,0,0,0,1,2,0,5,0,3,2,4,0,0,0,0,8,1,0,1,Bellbowrie,"Pioneer Crescent Park, 33 Pioneer Crescent, Bellbowrie",y
115,ASCOT PARK,93,KITCHENER ROAD,ASCOT,4007,153.063060315276,-27.4301896223043,744.572559561472,20536.583206818,1,0,1,0,0,0,0,7,0,13,7,1,1,3,0,0,1,0,0,0,8,0,1,4,0,2,6,0,0,0,19,0,0,0,0,4,0,0,3,0,2,0,0,1,1,0,0,0,0,46,0,0,9,2,0,0,2,0,26,0,0,0,0,0,8,2,0,0,2,0,0,0,2,0,0,0,0,0,0,11,3,0,0,8,0,0,10,0,3,0,0,0,20,0,0,2,3,1,0,0,2,7,0,0,2,0,1,0,4,0,11,0,0,0,2,0,4,0,32,4,0,0,0,0,7,0,53,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,39,1,2,4,0,2,8,0,0,5,4,1,0,0,0,0,1,16,0,5,0,0,2,2,0,15,1,0,1,0,3,0,14,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,7,3,1,2,Ascot,"Ascot Park, 93 Kitchener Road, Ascot",y
116,OLD SHORELINE PARK,351,MACARTHUR AVENUE,HAMILTON,4007,153.084507236191,-27.440981490325104,336.571749187594,6808.95953490749,0,0,2,1,0,0,0,4,0,10,9,0,2,1,0,0,1,0,0,1,9,1,0,0,0,2,16,0,0,0,21,1,1,2,0,9,0,0,5,0,3,0,0,0,0,0,0,0,0,53,0,0,8,0,2,0,0,0,26,0,0,0,0,0,31,2,0,0,1,1,0,0,2,0,0,0,0,0,0,11,2,0,0,18,0,0,8,0,1,0,0,0,18,0,0,3,5,0,0,1,4,2,0,0,0,0,0,0,1,0,27,0,3,0,0,0,3,0,49,1,0,0,0,0,9,0,72,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,42,4,2,12,1,2,17,0,0,3,3,0,0,0,1,0,0,7,0,2,0,0,4,1,0,26,4,0,1,0,0,0,22,0,0,0,0,2,0,4,0,3,1,3,0,0,0,1,4,1,0,3,Hamilton,"Old Shoreline Park, 351 Macarthur Avenue, Hamilton",y
117,HERCULES STREET PARK,40,REMORA ROAD,HAMILTON,4007,153.069860938804,-27.438662788708402,533.476341793176,17309.232497940102,0,0,2,1,0,0,0,4,0,10,9,0,2,1,0,0,1,0,0,1,9,1,0,0,0,2,16,0,0,0,21,1,1,2,0,9,0,0,5,0,3,0,0,0,0,0,0,0,0,53,0,0,8,0,2,0,0,0,26,0,0,0,0,0,31,2,0,0,1,1,0,0,2,0,0,0,0,0,0,11,2,0,0,18,0,0,8,0,1,0,0,0,18,0,0,3,5,0,0,1,4,2,0,0,0,0,0,0,1,0,27,0,3,0,0,0,3,0,49,1,0,0,0,0,9,0,72,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,42,4,2,12,1,2,17,0,0,3,3,0,0,0,1,0,0,7,0,2,0,0,4,1,0,26,4,0,1,0,0,0,22,0,0,0,0,2,0,4,0,3,1,3,0,0,0,1,4,1,0,3,Hamilton,"Hercules Street Park, 40 Remora Road, Hamilton",y
